BTC_change,total_7_day_sum
-8--6%,4508467.214819844
-6--4%,3272754.772651112
-4--2%,2929969.104362398
-2-0%,3166825.4566303855
0-2%,3318594.542727148
2-4%,3156874.8385121655
4-6%,2670987.508719075
6-8%,3750565.7702385616
8-10%,3628265.99403904
10-12%,5172662.725491153
